expansion_id,expansion_title,card_number,name,card_type,clan_or_nation,grade,power,shield,skill,detail_url,image_url,image_file
5,[BT01]Descent of the King of Knights,BT01/011EN,"Flash Shield, Iseult",Normal Unit,Royal Paladin,1,6000,0,"[CONT]:Sentinel (You may only have up to four cards with ""[CONT]:Sentinel"" in a deck.) [AUTO]:[Choose a <Royal Paladin> from your hand, and discard it] When this unit is placed on (GC), you may pay the cost. If you do, choose one of your <Royal Paladin> that is being attacked, and that unit cannot be hit until end of that battle.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/011EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_011EN.png,"vanguard_scrape_out\images\BT01_011EN__Flash_Shield,_Iseult.png"
5,[BT01]Descent of the King of Knights,BT01/012EN,"Future Knight, Llew",Trigger Unit,Royal Paladin,0,4000,10000,"[ACT](RC):[Counter-Blast 1 & Choose a unit named ""Future Knight, Llew"", a unit named ""Barcgal"", and a unit named ""Flogal"" from your (RC), and put them into your soul] If you have a grade 1 vanguard, search your deck for up to one card named ""Blaster Blade"", ride it, and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/012EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_012EN.png,"vanguard_scrape_out\images\BT01_012EN__Future_Knight,_Llew.png"
5,[BT01]Descent of the King of Knights,BT01/013EN,Vortex Dragon,Normal Unit,Kagero,3,10000,-,"[AUTO](VC):At the begininng of your main phase, [Soul-Charge 1], and this unit gets [Power] +2000 until end of turn. [ACT](VC/RC):[Soul-Blast 8 & Counter-Blast 5] Choose up to three of your opponent's rear-guards, and retire them.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/013EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_013EN.png,vanguard_scrape_out\images\BT01_013EN__Vortex_Dragon.png
5,[BT01]Descent of the King of Knights,BT01/014EN,"Dragon Knight, Aleph",Normal Unit,Kagero,2,9000,5000,"[ACT](VC):[Counter-Blast 1 & Choose a unit named ""Embodiment of Armor, Bahr"" and a unit named ""Embodiment of Spear, Tahr"" from your (RC), and put them into your soul] Search your deck for up to one card named ""Embodiment of Victory, Aleph"", ride it, and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/014EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_014EN.png,"vanguard_scrape_out\images\BT01_014EN__Dragon_Knight,_Aleph.png"
5,[BT01]Descent of the King of Knights,BT01/015EN,"Wyvern Guard, Barri",Normal Unit,Kagero,1,6000,0,"[CONT]:Sentinel (You may only have up to four cards with ""[CONT]:Sentinel"" in a deck.)[AUTO]:[Choose a <Kagero> from your hand, and discard it] When this unit is placed on (GC), you may pay the cost. If you do, choose one of your <Kagero> that is being attacked, and that unit cannot be hit until end of that battle.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/015EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_015EN.png,"vanguard_scrape_out\images\BT01_015EN__Wyvern_Guard,_Barri.png"
5,[BT01]Descent of the King of Knights,BT01/016EN,"Lizard Soldier, Conroe",Normal Unit,Kagero,0,5000,10000,"[AUTO]:When another <Kagero> rides this unit, you may call this card to a (RC). [ACT](RC):[Counter-Blast 1 & Retire this unit] Search your deck for up to one grade 1 or less <Kagero>, reveal it to your opponent, put it into your hand, and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/016EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_016EN.png,"vanguard_scrape_out\images\BT01_016EN__Lizard_Soldier,_Conroe.png"
5,[BT01]Descent of the King of Knights,BT01/017EN,Maiden of Libra,Normal Unit,Oracle Think Tank,2,9000,5000,"[AUTO](VC/RC):[Counter-Blast 2] When this unit's attack hits, if you have an <Oracle Think Tank> vanguard, you may pay the cost. If you do, draw a card.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/017EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_017EN.png,vanguard_scrape_out\images\BT01_017EN__Maiden_of_Libra.png
5,[BT01]Descent of the King of Knights,BT01/018EN,"Battle Sister, Mocha",Normal Unit,Oracle Think Tank,2,8000,5000,"[AUTO](VC/RC):When this unit attacks, if the number of cards in your hand is four or greater, this unit gets [Power] +3000 until end of that battle.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/018EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_018EN.png,"vanguard_scrape_out\images\BT01_018EN__Battle_Sister,_Mocha.png"
5,[BT01]Descent of the King of Knights,BT01/019EN,"Battle Sister, Chocolat",Normal Unit,Oracle Think Tank,1,6000,0,"[CONT]:Sentinel (You may only have up to four cards with ""[CONT]:Sentinel"" in a deck.)[AUTO]:[Choose a <Oracle Think Tank> from your hand, and discard it] When this unit is placed on (GC), you may pay the cost. If you do, choose one of your <Oracle Think Tank> that is being attacked, and that unit cannot be hit until end of that battle.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/019EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_019EN.png,"vanguard_scrape_out\images\BT01_019EN__Battle_Sister,_Chocolat.png"
5,[BT01]Descent of the King of Knights,BT01/020EN,Juggernaut Maximum,Normal Unit,Spike Brothers,3,11000,-,"[CONT](VC/RC):If you do not have another <<Spike Brothers> vanguard or rear-guard, this unit gets [Power] -2000. [AUTO](RC):[Soul-Blast 1] When this unit attacks, you may pay the cost. If you do, this unit gets [Power] +5000 until end of that battle, and at the beginning of the close step of that battle, return this unit to your deck, and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/020EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_020EN.png,vanguard_scrape_out\images\BT01_020EN__Juggernaut_Maximum.png
5,[BT01]Descent of the King of Knights,BT01/021EN,"Knight of Silence, Gallatin",Normal Unit,Royal Paladin,2,10000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/021EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_021EN.png,"vanguard_scrape_out\images\BT01_021EN__Knight_of_Silence,_Gallatin.png"
5,[BT01]Descent of the King of Knights,BT01/022EN,"Dragon Knight, Nehalem",Normal Unit,Kagero,2,10000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/022EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_022EN.png,"vanguard_scrape_out\images\BT01_022EN__Dragon_Knight,_Nehalem.png"
5,[BT01]Descent of the King of Knights,BT01/023EN,"Wyvern Strike, Tejas",Normal Unit,Kagero,2,8000,5000,"[CONT](VC/RC):If this unit would attack, it may instead attack an opponent's unit in the back row of the same column as this unit.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/023EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_023EN.png,"vanguard_scrape_out\images\BT01_023EN__Wyvern_Strike,_Tejas.png"
5,[BT01]Descent of the King of Knights,BT01/024EN,"Embodiment of Spear, Tahr",Trigger Unit,Kagero,0,5000,10000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/024EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_024EN.png,"vanguard_scrape_out\images\BT01_024EN__Embodiment_of_Spear,_Tahr.png"
5,[BT01]Descent of the King of Knights,BT01/025EN,"Oracle Guardian, Apollon",Normal Unit,Oracle Think Tank,3,10000,-,"[AUTO](VC):[Counter-Blast 2] When this unit's attack hits, you may pay the cost. If you do, draw two cards, choose a card from your hand, return it to your deck, and shuffle your deck. [AUTO](RC):[Counter-Blast 2] When this unit's attack hits, you may pay the cost. If you do, draw a card.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/025EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_025EN.png,"vanguard_scrape_out\images\BT01_025EN__Oracle_Guardian,_Apollon.png"
5,[BT01]Descent of the King of Knights,BT01/026EN,"Oracle Guardian, Wiseman",Normal Unit,Oracle Think Tank,2,10000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/026EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_026EN.png,"vanguard_scrape_out\images\BT01_026EN__Oracle_Guardian,_Wiseman.png"
5,[BT01]Descent of the King of Knights,BT01/027EN,Lozenge Magus,Trigger Unit,Oracle Think Tank,0,3000,10000,"(You may only have up to four cards with ""[Heal] HEAL"" in a deck.) [AUTO]:When another <Oracle Think Tank> rides this unit, you may call this card to (RC). [AUTO](RC):When this unit boosts, the boosted unit gets [Power] +3000 until end of that battle, and at the begininng of the end phase of that turn, return this unit to your deck, and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/027EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_027EN.png,vanguard_scrape_out\images\BT01_027EN__Lozenge_Magus.png
5,[BT01]Descent of the King of Knights,BT01/028EN,Mr. Invincible,Normal Unit,Nova Grappler,3,10000,-,"[AUTO](VC):At the beginning of your main phase, [Soul-Chage 1], choose a card from your damage zone, and turn it face up. [AUTO](VC/RC):[Soul-Blast 8 & Counter-Blast 5] When this unit's attack hits, you may pay the cost. If you do, [Stand] all of your units.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/028EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_028EN.png,vanguard_scrape_out\images\BT01_028EN__Mr._Invincible.png
5,[BT01]Descent of the King of Knights,BT01/029EN,Brutal Jack,Normal Unit,Nova Grappler,2,11000,5000,"[CONT](VC/RC):Restraint (This unit cannnot attack.)[ACT](VC/RC):[Counter-Blast 1] Until end of turn, this unit loses ""Restraint"". [AUTO](VC):When this unit is boosted by a <Nova Grappler>, this unit gets [Power] +5000 until end of that battle.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/029EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_029EN.png,vanguard_scrape_out\images\BT01_029EN__Brutal_Jack.png
5,[BT01]Descent of the King of Knights,BT01/030EN,King of Sword,Normal Unit,Nova Grappler,2,10000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/030EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_030EN.png,vanguard_scrape_out\images\BT01_030EN__King_of_Sword.png
5,[BT01]Descent of the King of Knights,BT01/031EN,Queen of Heart,Normal Unit,Nova Grappler,1,6000,5000,"[AUTO](RC):When this unit boosts a unit named ""King of Sword"", the boosted unit gets [Power] +4000 until end of that battle.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/031EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_031EN.png,vanguard_scrape_out\images\BT01_031EN__Queen_of_Heart.png
5,[BT01]Descent of the King of Knights,BT01/032EN,Battleraizer,Trigger Unit,Nova Grappler,0,3000,10000,"[AUTO]:When another <Nova Grappler> rides this unit, you may call this card to (RC). [AUTO](RC):When this unit boosts, the boosted unit gets [Power] +3000 until end of that battle, and at the begininng of the end phase of that turn, return this unit to your deck, and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/032EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_032EN.png,vanguard_scrape_out\images\BT01_032EN__Battleraizer.png
5,[BT01]Descent of the King of Knights,BT01/033EN,"Tyrant, Deathrex",Normal Unit,Tachikaze,3,10000,-,"[AUTO](VC):When this unit attacks, this unit gets [Power] +5000 until end of that battle. [AUTO](VC):When this unit's attack hits, choose one of your rear-guards, and retire it.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/033EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_033EN.png,"vanguard_scrape_out\images\BT01_033EN__Tyrant,_Deathrex.png"
5,[BT01]Descent of the King of Knights,BT01/034EN,"Assault Dragon, Blightops",Normal Unit,Tachikaze,2,9000,5000,"[AUTO]:[Counter-Blast 1] When this unit is put into the drop zone from (RC), you may pay the cost. If you do, search your deck for up to one card named ""Ironclad Dragon, Shieldon"", reveal it to your opponent, put it into your hand, and shuffle your deck.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/034EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_034EN.png,"vanguard_scrape_out\images\BT01_034EN__Assault_Dragon,_Blightops.png"
5,[BT01]Descent of the King of Knights,BT01/035EN,"Stealth Dragon, Voidmaster",Normal Unit,Nubatama,3,9000,-,"[AUTO](VC):When this unit attacks, if the number of cards in your hand is greater than your opponent's, this unit gets [Power] +3000 until end of that battle. [AUTO](VC/RC):[Counter-Blast 1] When this unit's attack hits, if the number of cards in your hand is less than your opponent's, you may pay the cost. If you do, your opponent chooses a card from his or her hand, and discards it.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/035EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_035EN.png,"vanguard_scrape_out\images\BT01_035EN__Stealth_Dragon,_Voidmaster.png"
5,[BT01]Descent of the King of Knights,BT01/036EN,Demon Eater,Normal Unit,Dark Irregulars,3,10000,-,"[AUTO](VC):At the beginning of your main phase, [Soul-Charge 1], and this unit gets [Power] +2000 until end of turn. [AUTO](VC/RC):[Soul-Blast 8 & Counter-Blast 5] When this unit's attack hits, you may pay the cost. If you do, retire all of your opponent's rear-guards.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/036EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_036EN.png,vanguard_scrape_out\images\BT01_036EN__Demon_Eater.png
5,[BT01]Descent of the King of Knights,BT01/037EN,Monster Frank,Normal Unit,Granblue,3,10000,-,"[ACT][Drop zone]:[Counter-Blast 3] If you have a grade 2 vanguard, ride this card.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/037EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_037EN.png,vanguard_scrape_out\images\BT01_037EN__Monster_Frank.png
5,[BT01]Descent of the King of Knights,BT01/038EN,Commodore Blueblood,Normal Unit,Granblue,2,10000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/038EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_038EN.png,vanguard_scrape_out\images\BT01_038EN__Commodore_Blueblood.png
5,[BT01]Descent of the King of Knights,BT01/039EN,Hell Spider,Normal Unit,Megacolony,3,10000,-,"[CONT](VC):During your turn, if all of your opponent's vanguard and rear-guards are Rest , this unit gets [Power] +3000. [AUTO]:[Counter-Blast 2] When this unit is placed on (VC) or (RC), you may pay the cost. If you do, choose one of your opponent's rear-guards, and the chosen unit cannot [Stand] during your opponent's next stand phase.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/039EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_039EN.png,vanguard_scrape_out\images\BT01_039EN__Hell_Spider.png
5,[BT01]Descent of the King of Knights,BT01/040EN,Bloody Hercules,Normal Unit,Megacolony,2,10000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/040EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_040EN.png,vanguard_scrape_out\images\BT01_040EN__Bloody_Hercules.png
5,[BT01]Descent of the King of Knights,BT01/041EN,"Covenant Knight, Randolf",Normal Unit,Royal Paladin,2,8000,5000,"[AUTO](VC/RC):When this unit attacks, if the number of cards in your hand is greater than your opponent's, this unit gets [Power] +3000 until end of that battle.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/041EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_041EN.png,"vanguard_scrape_out\images\BT01_041EN__Covenant_Knight,_Randolf.png"
5,[BT01]Descent of the King of Knights,BT01/042EN,"Little Sage, Marron",Normal Unit,Royal Paladin,1,8000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/042EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_042EN.png,"vanguard_scrape_out\images\BT01_042EN__Little_Sage,_Marron.png"
5,[BT01]Descent of the King of Knights,BT01/043EN,"Lake Maiden, Lien",Normal Unit,Royal Paladin,1,7000,5000,"[ACT](VC/RC):[Rest this unit & Choose a card from your hand, and discard it] Draw a card.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/043EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_043EN.png,"vanguard_scrape_out\images\BT01_043EN__Lake_Maiden,_Lien.png"
5,[BT01]Descent of the King of Knights,BT01/044EN,Wingal,Normal Unit,Royal Paladin,1,6000,5000,"[AUTO](RC):When this unit boosts a card named ""Blaster Blade"", the boosted unit gets [Power] +4000 until end of that battle.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/044EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_044EN.png,vanguard_scrape_out\images\BT01_044EN__Wingal.png
5,[BT01]Descent of the King of Knights,BT01/045EN,"Weapons Dealer, Govannon",Trigger Unit,Royal Paladin,0,5000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/045EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_045EN.png,"vanguard_scrape_out\images\BT01_045EN__Weapons_Dealer,_Govannon.png"
5,[BT01]Descent of the King of Knights,BT01/046EN,Flogal,Trigger Unit,Royal Paladin,0,5000,10000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/046EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_046EN.png,vanguard_scrape_out\images\BT01_046EN__Flogal.png
5,[BT01]Descent of the King of Knights,BT01/047EN,"Yggdrasil Maiden, Elaine",Trigger Unit,Royal Paladin,0,5000,10000,"(You may only have up to four cards with ""[Heal] HEAL"" in a deck.)",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/047EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_047EN.png,"vanguard_scrape_out\images\BT01_047EN__Yggdrasil_Maiden,_Elaine.png"
5,[BT01]Descent of the King of Knights,BT01/048EN,"Embodiment of Armor, Bahr",Normal Unit,Kagero,1,8000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/048EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_048EN.png,"vanguard_scrape_out\images\BT01_048EN__Embodiment_of_Armor,_Bahr.png"
5,[BT01]Descent of the King of Knights,BT01/049EN,"Dragon Monk, Gojo",Normal Unit,Kagero,1,7000,5000,"[ACT](VC/RC):[Rest this unit & Choose a card from your hand, and discard it] Draw a card.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/049EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_049EN.png,"vanguard_scrape_out\images\BT01_049EN__Dragon_Monk,_Gojo.png"
5,[BT01]Descent of the King of Knights,BT01/050EN,"Wyvern Strike, Jarran",Normal Unit,Kagero,1,6000,5000,"[AUTO](RC):When this unit boosts a card named ""Wyvern Strike, Tejas"", the boosted unit gets [Power] +4000 until end of that battle.",https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/050EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_050EN.png,"vanguard_scrape_out\images\BT01_050EN__Wyvern_Strike,_Jarran.png"
5,[BT01]Descent of the King of Knights,BT01/051EN,"Dragon Dancer, Monica",Trigger Unit,Kagero,0,5000,5000,-,https://en.cf-vanguard.com/cardlist/cardsearch/?cardno=BT01/051EN&expansion=5&view=text,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt01/BT01_051EN.png,"vanguard_scrape_out\images\BT01_051EN__Dragon_Dancer,_Monica.png"
