card_id_hex,card_id_dec,name,attack,shield
3A9F,15007,Asura Kaiser,11000,0
3AA0,15008,"Demon Slaying Knight, Lohengrin",10000,0
3AA1,15009,"Solitary Knight, Gancelot",9000,0
3AA2,15010,"Flash Shield, Iseult",6000,0
3AA3,15011,"Future Knight, Llew",4000,10000
3AA4,15012,Vortex Dragon,10000,0
3AA5,15013,"Dragon Knight, Aleph",9000,5000
3AA6,15014,"Wyvern Guard, Barri",6000,0
3AA7,15015,"Lizard Soldier, Conroe",5000,10000
3AA8,15016,Maiden of Libra,9000,5000
3AA9,15017,"Battle Sister, Mocha",8000,5000
3AAA,15018,"Battle Sister, Chocolat",6000,0
3AAB,15019,Juggernaut Maximum,11000,0
3AAC,15020,"Knight of Silence, Gallatin",10000,5000
3AAD,15021,"Dragon Knight, Nehalem",10000,5000
3AAE,15022,"Wyvern Strike, Tejas",8000,5000
3AAF,15023,"Embodiment of Spear, Tahr",5000,10000
3AB0,15024,"Oracle Guardian, Apollon",10000,0
3AB1,15025,"Oracle Guardian, Wiseman",10000,5000
3AB2,15026,Lozenge Magus,3000,10000
3AB3,15027,Mr. Invincible,10000,0
3AB4,15028,Brutal Jack,11000,5000
3AB5,15029,King of Sword,10000,5000
3AB6,15030,Queen of Heart,6000,5000
3AB7,15031,Battleraizer,3000,10000
3AB8,15032,"Tyrant, Deathrex",10000,0
3AB9,15033,"Assault Dragon, Blightops",9000,5000
3ABA,15034,"Stealth Dragon, Voidmaster",9000,0
3ABB,15035,Demon Eater,10000,0
3ABC,15036,Monster Frank,10000,0
3ABD,15037,Commodore Blueblood,10000,5000
3ABE,15038,Hell Spider,10000,0
3ABF,15039,Bloody Hercules,10000,5000
3AC0,15040,"Covenant Knight, Randolf",8000,5000
3AC1,15041,"Little Sage, Marron",8000,5000
3AC2,15042,"Lake Maiden, Lien",7000,5000
3AC3,15043,Wingal,6000,5000
3AC4,15044,"Weapons Dealer, Govannon",5000,5000
3AC5,15045,Flogal,5000,10000
3AC6,15046,"Yggdrasil Maiden, Elaine",5000,10000
3AC7,15047,"Embodiment of Armor, Bahr",8000,5000
3AC8,15048,"Dragon Monk, Gojo",7000,5000
3AC9,15049,"Wyvern Strike, Jarran",6000,5000
3ACA,15050,"Dragon Dancer, Monica",5000,5000
3ACB,15051,"Lizard Soldier, Ganlu",5000,10000
3ACC,15052,"Dragon Monk, Genjo",5000,10000
3ACD,15053,"Oracle Guardian, Gemini",8000,5000
3ACE,15054,"Weather Girl, Milk",6000,5000
3ACF,15055,"Oracle Guardian, Nike",5000,10000
3AD0,15056,Dream Eater,5000,5000
3AD1,15057,Miracle Kid,5000,5000
3AD2,15058,Hungry Dumpty,9000,5000
3AD3,15059,Tough Boy,8000,5000
3AD4,15060,"Screamin' and Dancin' Announcer, Shout",7000,5000
3AD5,15061,Clay-doll Mechanic,7000,5000
3AD6,15062,Shining Lady,5000,10000
3AD7,15063,Lucky Girl,5000,10000
3AD8,15064,"Ring Girl, Clara",5000,10000
3AD9,15065,Sonic Noa,8000,5000
3ADA,15066,"Ironclad Dragon, Shieldon",6000,10000
3ADB,15067,"Stealth Beast, Chigasumi",8000,5000
3ADC,15068,"Stealth Dragon, Dreadmaster",7000,5000
3ADD,15069,"Stealth Beast, Hagakure",5000,10000
3ADE,15070,Blue Dust,9000,5000
3ADF,15071,Nightmare Baby,6000,5000
3AE0,15072,Rock the Wall,5000,10000
3AE1,15073,"Highspeed, Brakki",9000,5000
3AE2,15074,Wonder Boy,8000,5000
3AE3,15075,"Redshoe, Milly",5000,10000
3AE4,15076,"Dandy Guy, Romario",8000,5000
3AE5,15077,Guiding Zombie,5000,10000
3AE6,15078,Karma Queen,7000,5000
3AE7,15079,Madame Mirage,6000,10000
3AE8,15080,"King of Knights, Alfred",10000,0
3AE9,15081,Blaster Blade,9000,5000
3AEA,15082,Barcgal,4000,10000
3AEB,15083,Dragonic Overlord,11000,0
3AEC,15084,CEO Amaterasu,10000,0
3AED,15085,"Battle Sister, Cocoa",6000,5000
3AEE,15086,Asura Kaiser,11000,0
3AEF,15087,"Solitary Knight, Gancelot",9000,0
3AF0,15088,Vortex Dragon,10000,0
3AF1,15089,Maiden of Libra,9000,5000
3AF2,15090,Lozenge Magus,3000,10000
3AF3,15091,Battleraizer,3000,10000
3B60,15200,Sky Diver,11000,0
3B61,15201,Spirit Exceed,10000,0
3B62,15202,Ruin Shade,9000,5000
3B63,15203,Soul Saver Dragon,10000,0
3B64,15204,Blazing Flare Dragon,10000,0
3B65,15205,"Seal Dragon, Blockade",10000,0
3B66,15206,"Scarlet Witch, CoCo",10000,0
3B67,15207,Lion Heat,10000,0
3B68,15208,General Seifried,10000,0
3B69,15209,"Cheer Girl, Marilyn",6000,0
3B6A,15210,"King of Demonic Seas, Basskirk",10000,0
3B6B,15211,"Witch Doctor of the Abyss, Negromarl",8000,0
3B6C,15212,Captain Nightmist,8000,5000
3B6D,15213,Gust Jinn,6000,0
3B6E,15214,Young Pegasus Knight,6000,5000
3B6F,15215,Chain-attack Sutherland,8000,5000
3B70,15216,Silent Tom,8000,5000
3B71,15217,"Magician Girl, Kirara",9000,5000
3B72,15218,Twin Blader,6000,0
3B73,15219,"Top Idol, Flores",10000,0
3B74,15220,Unite Attacker,10000,0
3B75,15221,"Treasured, Black Panther",10000,5000
3B76,15222,Dudley Dan,4000,5000
3B77,15223,Mecha Trainer,5000,10000
3B78,15224,Dancing Cutlass,5000,5000
3B79,15225,Chappie the Ghostie,5000,10000
3B7A,15226,Gigantech Charger,9000,0
3B7B,15227,"Great Sage, Barron",8000,5000
3B7C,15228,"High Dog Breeder, Akane",8000,5000
3B7D,15229,Pongal,7000,5000
3B7E,15230,Bｌazing Core Dragon,9000,5000
3B7F,15231,"Demonic Dragon Mage, Kimnara",6000,5000
3B80,15232,Luck Bird,5000,5000
3B81,15233,"Winged Dragon, Skyptero",6000,5000
3B82,15234,Dragon Egg,4000,10000
3B83,15235,"Top Idol, Aqua",10000,5000
3B84,15236,"Bermuda Triangle Cadet, Caravel",3000,10000
3B85,15237,Master Fraude,10000,0
3B86,15238,Scientist Monkey Rue,10000,0
3B87,15239,Geograph Giant,10000,5000
3B88,15240,Panzer Gale,8000,5000
3B89,15241,Devil Summoner,7000,5000
3B8A,15242,Cyclone Blitz,6000,5000
3B8B,15243,Spike Brothers Assault Squad,4000,5000
3B8C,15244,Sonic Breaker,5000,10000
3B8D,15245,Cheerful Lynx,5000,5000
3B8E,15246,"Cheer Girl, Tiara",5000,10000
3B8F,15247,Silence Joker,4000,10000
3B90,15248,Skeleton Swordsman,8000,5000
3B91,15249,Samurai Spirit,7000,5000
3B92,15250,Evil Shade,6000,5000
3B93,15251,Knight Spirit,5000,10000
3B94,15252,Skeleton Lookout,5000,10000
3B95,15253,Rick the Ghostie,5000,10000
3B96,15254,Rough Seas Banshee,4000,10000
3B97,15255,"Knight of Truth, Gordon",8000,5000
3B98,15256,Soul Guiding Elf,7000,5000
3B99,15257,Pixy Fife and Drum,5000,10000
3B9A,15258,Margal,4000,5000
3B9B,15259,"Dragon Knight, Berger",8000,5000
3B9C,15260,Iron Tail Dragon,7000,5000
3B9D,15261,"Follower, Reas",6000,5000
3B9E,15262,"Lizard Runner, Nafd",5000,10000
3B9F,15263,Gattling Claw Dragon,4000,5000
3BA0,15264,Security Guardian,8000,5000
3BA1,15265,One Who Gazes at the Truth,6000,5000
3BA2,15266,Emergency Alarmer,5000,10000
3BA3,15267,Psychic Bird,4000,10000
3BA4,15268,"Chaos Dragon, Dinochaos",10000,0
3BA5,15269,"Cannon Fire Dragon, Cannon Gear",11000,5000
3BA6,15270,NGM Prototype,8000,5000
3BA7,15271,Cray Soldier,4000,5000
3BA8,15272,Three Minutes,5000,5000
3BA9,15273,Red Lightning,4000,10000
3BAA,15274,Blazer Idols,6000,5000
3BAB,15275,Lady Bomb,9000,5000
3BAC,15276,Phantom Black,8000,5000
3BAD,15277,Megacolony Battler A,5000,10000
3BAE,15278,Silver Wolf,8000,5000
3BAF,15279,Intelli-mouse,4000,10000
3BB0,15280,Sky Diver,11000,0
3BB1,15281,Spirit Exceed,10000,0
3BB2,15282,Ruin Shade,9000,5000
3BB3,15283,Soul Saver Dragon,10000,0
3BB4,15284,Blazing Flare Dragon,10000,0
3BB5,15285,Seal Dragon Blockade,10000,0
3BB6,15286,"Scarlet Witch, CoCo",10000,0
3BB7,15287,Lion Heat,10000,0
3BB8,15288,General Seifried,10000,0
3BB9,15289,"Witch Doctor of the Abyss, Negromarl",8000,0
3BBA,15290,"Top Idol, Flores",10000,0
3BBB,15291,"Top Idol, Aqua",10000,5000
3C28,15400,Stil Vampir,10000,0
3C29,15401,"Demon World Marquis, Amon",10000,0
3C2A,15402,"Nightmare Doll, Alice",10000,0
3C2B,15403,"Ravenous Dragon, Gigarex",10000,0
3C2C,15404,"Swordsman of the Explosive Flames, Palamedes",10000,0
3C2D,15405,"Goddess of the Full Moon, Tsukuyomi",11000,0
3C2E,15406,"Goddess of the Half Moon, Tsukuyomi",9000,5000
3C2F,15407,"Ultimate Lifeform, Cosmo Lord",10000,0
3C30,15408,Edel Rose,9000,0
3C31,15409,Gwynn the Ripper,9000,5000
3C32,15410,March Rabbit of Nightmareland,6000,0
3C33,15411,Doreen the Thruster,6000,5000
3C34,15412,"Dusk Illusionist, Robert",10000,0
3C35,15413,Crimson Beast Tamer,8000,5000
3C36,15414,Mirror Demon,8000,5000
3C37,15415,Hades Hypnotist,6000,0
3C38,15416,Archbird,6000,0
3C39,15417,"Knight of Godly Speed, Galahad",11000,0
3C3A,15418,Dual Axe Archdragon,10000,0
3C3B,15419,"Super Dimensional Robo, Daiyusha",10000,0
3C3C,15420,"Imprisoned Fallen Angel, Saraqael",11000,5000
3C3D,15421,Werwolf Sieger,10000,5000
3C3E,15422,"Demon of Aspiration, Amon",8000,5000
3C3F,15423,Alluring Succubus,7000,5000
3C40,15424,Vermillion Gatekeeper,5000,10000
3C41,15425,Barking Manticore,10000,0
3C42,15426,Barking Cerberus,10000,5000
3C43,15427,Skull Juggler,7000,5000
3C44,15428,Midnight Bunny,7000,5000
3C45,15429,Turquoise Beast Tamer,6000,5000
3C46,15430,Hades Ringmaster,5000,10000
3C47,15431,"Raging Dragon, Blastsaurus",9000,0
3C48,15432,"Ravenous Dragon, Megarex",10000,5000
3C49,15433,Savage Warrior,6000,5000
3C4A,15434,Toypugal,6000,5000
3C4B,15435,Drangal,5000,10000
3C4C,15436,"Oracle Guardian, Blue Eye",5000,5000
3C4D,15437,"Godhawk, Ichibyoshi",5000,10000
3C4E,15438,Death Army Lady,9000,5000
3C4F,15439,Death Army Guy,7000,5000
3C50,15440,Decadent Succubus,9000,5000
3C51,15441,Prisoner Beast,8000,5000
3C52,15442,"Poet of Darkness, Amon",6000,5000
3C53,15443,Blitzritter,5000,10000
3C54,15444,Hades Puppet Master,5000,10000
3C55,15445,Cursed Doctor,5000,10000
3C56,15446,Dark Queen of Nightmareland,4000,10000
3C57,15447,Elephant Juggler,9000,5000
3C58,15448,Hungry Clown,9000,5000
3C59,15449,Dark Metal Bicorn,8000,5000
3C5A,15450,Dynamite Juggler,5000,10000
3C5B,15451,Spiral Master,5000,5000
3C5C,15452,Candy Clown,5000,10000
3C5D,15453,Rainbow Magician,4000,5000
3C5E,15454,Vacuum Mammoth,9000,5000
3C5F,15455,Savage Destroyer,8000,5000
3C60,15456,"Raging Dragon, Sparksaurus",5000,5000
3C61,15457,"Herbivorous Dragon, Brutosaurus",5000,5000
3C62,15458,"Pack Dragon, Tinyrex",5000,10000
3C63,15459,Savage Shaman,5000,10000
3C64,15460,Black Cannon Tiger,4000,10000
3C65,15461,"Knight of Tribulations, Galahad",9000,5000
3C66,15462,Gigantech Dozer,8000,5000
3C67,15463,"Swordsman of the Blaze, Palamedes",8000,5000
3C68,15464,"Knight of Quests, Galahad",7000,5000
3C69,15465,Borgal,6000,5000
3C6A,15466,Alabaster Owl,5000,10000
3C6B,15467,Secretary Angel,9000,0
3C6C,15468,"Oracle Guardian, Red Eye",9000,5000
3C6D,15469,Faithful Angel,7000,5000
3C6E,15470,"Goddess of the Crescent Moon, Tsukuyomi",7000,5000
3C6F,15471,"Battle Sister, Vanilla",6000,5000
3C70,15472,Victory Maker,5000,5000
3C71,15473,Flame Edge Dragon,9000,5000
3C72,15474,"Dragon Dancer, Lourdes",6000,5000
3C73,15475,Blue Ray Dracokid,5000,10000
3C74,15476,Cannon Ball,5000,10000
3C75,15477,"Masked Police, Grander",8000,5000
3C76,15478,"Karenroid, Daisy",8000,5000
3C77,15479,"Workerpod, Saturday",6000,10000
3C78,15480,"Demon World Marquis, Amon",10000,0
3C79,15481,"Nightmare Doll, Alice",10000,0
3C7A,15482,"Ravenous Dragon, Gigarex",10000,0
3C7B,15483,"Swordsman of the Explosive Flames, Palamedes",10000,0
3C7C,15484,"Goddess of the Full Moon, Tsukuyomi",11000,0
3C7D,15485,"Ultimate Lifeform, Cosmo Lord",10000,0
3C7E,15486,Gwynn the Ripper,9000,5000
3C7F,15487,Turquoise Beast Tamer,6000,5000
3C80,15488,Crimson Beast Tamer,8000,5000
3C81,15489,"Knight of Godly Speed, Galahad",11000,0
3C82,15490,Dual Axe Archdragon,10000,0
3C83,15491,"Super Dimensional Robo, Daiyusha",10000,0
3CF0,15600,Phantom Blaster Dragon,10000,0
3CF1,15601,"Darkness Maiden, Macha",8000,5000
3CF2,15602,"Skull Witch, Nemain",3000,5000
3CF3,15603,Enigman Storm,10000,0
3CF4,15604,"Evil Armor General, Giraffa",10000,0
3CF5,15605,"Amber Dragon, Eclipse",10000,0
3CF6,15606,Heatnail Salamander,6000,5000
3CF7,15607,Stern Blaukluger,10000,0
3CF8,15608,Dark Metal Dragon,10000,0
3CF9,15609,Gururubau,7000,5000
3CFA,15610,"Dark Shield, Mac Lir",6000,0
3CFB,15611,Enigman Wave,9000,5000
3CFC,15612,Cosmo Beak,8000,5000
3CFD,15613,Diamond Ace,6000,0
3CFE,15614,Commander Laurel,4000,5000
3CFF,15615,"Elite Mutant, Giraffa",9000,5000
3D00,15616,Paralyze Madonna,6000,0
3D01,15617,"Amber Dragon, Dusk",9000,5000
3D02,15618,Blaukluger,9000,5000
3D03,15619,"Fang of Light, Garmore",10000,0
3D04,15620,"Silver Spear Demon, Gusion",10000,0
3D05,15621,"Dark Mage, Badhabh Caar",9000,0
3D06,15622,"Knight of Darkness, Rugos",10000,5000
3D07,15623,Blaster Dark,9000,5000
3D08,15624,Fullbau,5000,10000
3D09,15625,Enigman Rain,10000,0
3D0A,15626,Twin Order,10000,5000
3D0B,15627,Platinum Ace,9000,5000
3D0C,15628,Cosmo Roar,6000,5000
3D0D,15629,Enigman Flow,5000,10000
3D0E,15630,Death Warden Ant Lion,10000,0
3D0F,15631,Violent Vesper,9000,0
3D10,15632,Water Gang,9000,5000
3D11,15633,Gloom Flyman,7000,5000
3D12,15634,"Larva Mutant, Giraffa",5000,10000
3D13,15635,"Lizard Soldier, Raopia",6000,5000
3D14,15636,"Amber Dragon, Dawn",5000,10000
3D15,15637,"Armored Fairy, Shubiela",10000,0
3D16,15638,Blaujunger,5000,10000
3D17,15639,"Beast Knight, Garmore",8000,5000
3D18,15640,"Demon World Castle, DonnerSchlag",10000,5000
3D19,15641,"Demon World Castle, Fatalita",8000,5000
3D1A,15642,"Black Sage, Charon",8000,5000
3D1B,15643,"Witch of Nostrum, Arianrhod",7000,5000
3D1C,15644,Doranbau,6000,5000
3D1D,15645,Blaster Javelin,6000,5000
3D1E,15646,Zappbau,6000,10000
3D1F,15647,Grim Reaper,5000,10000
3D20,15648,Abyss Freezer,5000,5000
3D21,15649,Darkside Trumpeter,5000,10000
3D22,15650,Abyss Healer,5000,10000
3D23,15651,Enigman Shine,9000,0
3D24,15652,Enigroid Comrade,10000,5000
3D25,15653,Enigman Ripple,6000,5000
3D26,15654,Glory Maker,6000,5000
3D27,15655,Justice Cobalt,5000,10000
3D28,15656,Army Penguin,5000,5000
3D29,15657,Cosmo Fang,5000,10000
3D2A,15658,Justice Rose,5000,10000
3D2B,15659,Ironcutter Beetle,10000,5000
3D2C,15660,Tail Joe,8000,5000
3D2D,15661,"Pupa Mutant, Giraffa",6000,5000
3D2E,15662,Stealth Millipede,6000,5000
3D2F,15663,Sharp Nail Scorpio,5000,10000
3D30,15664,Raider Mantis,5000,5000
3D31,15665,Sonic Cicada,5000,10000
3D32,15666,"Medical Battler, Ranpli",5000,10000
3D33,15667,"Garnet Dragon, Flash",9000,0
3D34,15668,Lava Arm Dragon,10000,5000
3D35,15669,"Amber Dragon, Daylight",6000,5000
3D36,15670,Red Gem Carbuncle,5000,5000
3D37,15671,Flame Seed Salamander,4000,10000
3D38,15672,Eisenkugel,10000,5000
3D39,15673,Dancing Wolf,7000,5000
3D3A,15674,Blaupanzer,6000,5000
3D3B,15675,Toolkit Boy,5000,5000
3D3C,15676,"Fighting Battleship, Prometheus",5000,10000
3D3D,15677,Grapple Mania,4000,10000
3D3E,15678,Snogal,6000,5000
3D3F,15679,Brugal,4000,10000
3D40,15680,Phantom Blaster Dragon,10000,0
3D41,15681,"Darkness Maiden, Macha",8000,5000
3D42,15682,"Skull Witch, Nemain",3000,5000
3D43,15683,Enigman Storm,10000,0
3D44,15684,"Evil Armor General, Giraffa",10000,0
3D45,15685,"Amber Dragon, Eclipse",10000,0
3D46,15686,Dark Metal Dragon,10000,0
3D47,15687,Stern Blaukluger,10000,0
3D48,15688,"Amber Dragon, Dusk",9000,5000
3D49,15689,Blaukluger,9000,5000
3D4A,15690,"Fang of Light, Garmore",10000,0
3D4B,15691,Blaster Dark,9000,5000
3DB8,15800,"Covert Demonic Dragon, Mandala Lord",11000,0
3DB9,15801,Majesty Lord Blaster,10000,0
3DBA,15802,Star Call Trumpeter,8000,5000
3DBB,15803,Phantom Blaster Overlord,11000,0
3DBC,15804,Dragonic Overlord the End,11000,0
3DBD,15805,Miracle Beauty,10000,0
3DBE,15806,"King of Diptera, Beelzebub",10000,0
3DBF,15807,Mistress Hurricane,10000,0
3DC0,15808,Maiden of Trailing Rose,11000,0
3DC1,15809,Glass Beads Dragon,9000,5000
3DC2,15810,Maiden of Blossom Rain,6000,0
3DC3,15811,"Stealth Fiend, Midnight Crow",8000,5000
3DC4,15812,"Stealth Beast, Leaves Mirage",6000,0
3DC5,15813,"Knight of Loyalty, Bedivere",9000,5000
3DC6,15814,"Knight of Friendship, Kay",7000,5000
3DC7,15815,Wingal Brave,5000,10000
3DC8,15816,"Moonlight Witch, Vaha",9000,5000
3DC9,15817,"Knight of Nullity, Masquerade",9000,5000
3DCA,15818,"Evil-eye Princess, Euryale",10000,0
3DCB,15819,Street Bouncer,8000,5000
3DCC,15820,"Frontline Valkyrie, Laurel",10000,0
3DCD,15821,"Knight of Harvest, Gene",10000,0
3DCE,15822,"Avatar of the Plains, Behemoth",10000,0
3DCF,15823,Iris Knight,10000,5000
3DD0,15824,Hey Yo Pineapple,8000,5000
3DD1,15825,Shield Seed Squire,5000,10000
3DD2,15826,"Stealth Fiend, Kurama Lord",10000,0
3DD3,15827,"Stealth Dragon, Voidgelga",9000,0
3DD4,15828,"Stealth Beast, Bloody Mist",10000,5000
3DD5,15829,"Caped Stealth Rogue, Shanaou",8000,5000
3DD6,15830,"Stealth Dragon, Cursed Breath",8000,5000
3DD7,15831,"Stealth Dragon, Turbulent Edge",6000,5000
3DD8,15832,"Stealth Beast, Million Rat",6000,5000
3DD9,15833,"Stealth Beast, Evil Ferret",5000,10000
3DDA,15834,"Knight of Purgatory, Skull Face",10000,0
3DDB,15835,Apocalypse Bat,4000,5000
3DDC,15836,Burning Horn Dragon,9000,5000
3DDD,15837,"Flame of Promise, Aermo",4000,5000
3DDE,15838,Magical Police Quilt,6000,5000
3DDF,15839,Devil Child,6000,5000
3DE0,15840,"Knight of Verdure, Gene",9000,5000
3DE1,15841,"Colossal Wings, Simurgh",8000,5000
3DE2,15842,"Spiritual Tree Sage, Irminsul",7000,5000
3DE3,15843,Corolla Dragon,8000,5000
3DE4,15844,Caramel Popcorn,7000,5000
3DE5,15845,Lady of the Sunlight Forest,7000,5000
3DE6,15846,Blade Seed Squire,7000,5000
3DE7,15847,Lily Knight of the Valley,6000,5000
3DE8,15848,Pea Knight,6000,10000
3DE9,15849,Chestnut Bullet,5000,10000
3DEA,15850,Dancing Sunflower,5000,5000
3DEB,15851,Sweet Honey,5000,10000
3DEC,15852,Watering Elf,4000,10000
3DED,15853,"Stealth Beast, White Mane",9000,5000
3DEE,15854,"Stealth Rogue of Silence, Shijimamaru",8000,5000
3DEF,15855,"Stealth Beast, Leaf Raccoon",6000,5000
3DF0,15856,"Stealth Beast, Moon Edge",5000,10000
3DF1,15857,"Stealth Beast, Cat Rouge",5000,5000
3DF2,15858,"Stealth Fiend, Yukihime",5000,10000
3DF3,15859,"Stealth Fiend, Dart Spider",4000,10000
3DF4,15860,"Powerful Sage, Bairon",9000,0
3DF5,15861,Dream Painter,6000,5000
3DF6,15862,"Silent Sage, Sharon",4000,10000
3DF7,15863,Nightmare Painter,6000,5000
3DF8,15864,Phantom Bringer Demon,5000,10000
3DF9,15865,Death Feather Eagle,5000,10000
3DFA,15866,"Battle Maiden, Tagitsuhime",9000,5000
3DFB,15867,White Hare of Inaba,6000,5000
3DFC,15868,"Battle Sister, Ginger",5000,10000
3DFD,15869,Doom Bringer Griffin,5000,10000
3DFE,15870,Top Gun,10000,0
3DFF,15871,Anthrodroid,6000,5000
3E00,15872,The Gong,5000,5000
3E01,15873,"Super Dimensional Robo, Dailady",9000,5000
3E02,15874,Guide Dolphin,4000,10000
3E03,15875,Dark Soul Conductor,8000,5000
3E04,15876,Hysteric Shirley,4000,5000
3E05,15877,Big League Bear,8000,5000
3E06,15878,Madcap Marionette,6000,5000
3E07,15879,Skyhigh Walker,4000,10000
3E08,15880,"Covert Demonic Dragon, Mandala Lord",11000,0
3E09,15881,Majesty Lord Blaster,10000,0
3E0A,15882,Star Call Trumpeter,8000,5000
3E0B,15883,Phantom Blaster Overlord,11000,0
3E0C,15884,Dragonic Overlord the End,11000,0
3E0D,15885,Miracle Beauty,10000,0
3E0E,15886,"King of Diptera, Beelzebub",10000,0
3E0F,15887,Mistress Hurricane,10000,0
3E10,15888,Maiden of Trailing Rose,11000,0
3E11,15889,"Stealth Fiend, Midnight Crow",8000,5000
3E12,15890,Wingal Brave,5000,10000
3E13,15891,"Knight of Nullity, Masquerade",9000,5000
3E80,16000,"Circular Saw, Kiriel",10000,0
3E81,16001,"Battle Cupid, Nociel",6000,5000
3E82,16002,"Ice Prison Necromancer, Cocytus",10000,0
3E83,16003,"Incandescent Lion, Blond Ezel",10000,0
3E84,16004,"Player of the Holy Bow, Viviane",9000,5000
3E85,16005,Dragonic Kaiser Vermillion,11000,0
3E86,16006,"Desert Gunner, Shiden",9000,5000
3E87,16007,"Beast Deity, Azure Dragon",11000,0
3E88,16008,"Cosmo Healer, Ergodiel",10000,0
3E89,16009,"Core Memory, Armaros",9000,5000
3E8A,16010,"Love Machine Gun, Nociel",8000,5000
3E8B,16011,"Pure Keeper, Requiel",6000,0
3E8C,16012,Deadly Swordmaster,11000,0
3E8D,16013,"Death Seeker, Thanatos",10000,0
3E8E,16014,"Knight of Fury, Agravain",10000,0
3E8F,16015,Sleygal Dagger,7000,5000
3E90,16016,"Halo Shield, Mark",6000,0
3E91,16017,"Vajra Emperor, Indra",10000,0
3E92,16018,Dragonic Deathscythe,9000,5000
3E93,16019,"Wyvern Guard, Guld",6000,0
3E94,16020,"Mobile Hospital, Feather Palace",10000,0
3E95,16021,"Drill Bullet, Geniel",10000,0
3E96,16022,"The Phoenix, Calamity Flame",10000,0
3E97,16023,"Gattling Shot, Barbiel",10000,5000
3E98,16024,"Fate Healer, Ergodiel",9000,5000
3E99,16025,Miracle Feather Nurse,4000,10000
3E9A,16026,"Master Swordsman, Nightstorm",10000,0
3E9B,16027,Skeleton Demon World Knight,9000,5000
3E9C,16028,Deadly Spirit,9000,5000
3E9D,16029,"Three Star Chef, Pietro",9000,5000
3E9E,16030,Deadly Nightmare,7000,5000
3E9F,16031,"Knight of Superior Skills, Beaumains",10000,5000
3EA0,16032,"Mage of Calamity, Tripp",9000,5000
3EA1,16033,"Player of the Holy Axe, Nimue",7000,5000
